farm,New_name,Lat,Long,x,y,upstreamGWP_RMB,onsitedieselGWP_RMB,onsitecoalGWP_RMB,onsiteanimalGWP_RMB,onsite_total_RMB,all_total_RMB,upstreamGWP_LV,onsitedieselGWP_LV,onsitecoalGWP_LV,onsiteanimalGWP_LV,onsite_total_LV,all_total_LV,Farm-level_upstream,Farm-level_onsite,Farm-level_all
farm1 ,E1,49.296279,119.845325,706864,5464288,1.51E+00,3.10E-02,1.08E+00,1.15E+00,2.26E+00,3.77E+00,7.53E+00,1.54E-01,5.38E+00,5.74E+00,1.13E+01,18.80120139,38731.80261,58000.37854,96732.18115
farm2,E2,49.297195,119.845385,706865,5464390,9.58E-01,4.69E-02,1.04E+00,8.74E-01,1.96E+00,2.92E+00,7.30E+00,3.58E-01,7.91E+00,6.66E+00,14.93407882,22.23190371,27930.28214,55256.09164,82258.04374
farm3,E3,49.349567,120.149938,293015,5470224,3.67E-01,1.27E-02,3.11E-01,4.47E-01,7.70E-01,1.14E+00,4.76E+00,1.64E-01,4.04E+00,5.799801391,10.00583647,14.76770698,4168.226019,80546.98355,118880.0412
farm4,E4,49.349315,120.147322,292824,5470203,2.45E-01,4.16E-03,1.02E-01,5.43E-01,6.50E-01,8.95E-01,4.29E+00,7.28E-02,1.79E+00,9.501959007,11.36359927,15.65401346,2196.103611,165340.3694,227765.8958
farm6,E5,49.303967,119.913837,711812,5465332,2.91E-01,3.26E-02,5.01E-01,8.23E-01,1.36E+00,1.65E+00,1.92E+00,2.15E-01,3.30E+00,5.43E+00,8.95E+00,1.09E+01,4784.825322,88172.18492,107055.7061
farm8,S1,48.97486,119.905645,712621,5428730,8.17E-02,8.52E-03,2.62E-01,1.27E-01,3.97E-01,4.79E-01,1.25E+00,1.30E-01,4.00E+00,1.94E+00,6.07E+00,7.32E+00,391.4479375,74061.67348,89307.28336
farm9,S2,48.998326,119.771811,702733,5430972,3.19E-01,9.34E-03,1.15E-01,3.45E-01,4.69E-01,7.88E-01,5.23E+00,1.53E-01,1.88E+00,5.65E+00,7.68E+00,12.91750278,2517.65754,132924.9537,223472.798
farm10,S3,49.059848,119.768853,702267,5437802,6.85E-01,2.93E-02,6.31E-01,3.94E-01,1.05E+00,1.74E+00,8.38859297,3.59E-01,7.72E+00,4.82E+00,1.29E+01,21.29017766,11926.08872,38059.67483,62806.02409
farm11,S4,49.114324,119.669678,694810,5443597,3.81E-01,2.41E-03,4.19E-01,2.66E-01,6.87E-01,1.07E+00,4.55E+00,2.87E-02,5.01E+00,3.17E+00,8.21E+00,12.75996886,4072.344861,90673.03434,140997.656
farm14,S5,48.521716,119.813659,707751,5378113,4.82E-02,2.34E-03,1.20E-01,1.58E-01,2.80E-01,3.28E-01,1.14E+00,5.53E-02,2.83E+00,3.74E+00,6.63E+00,7.77E+00,158.0214521,190142.6891,222857.7413
farm15,S6,48.396193,119.778604,705670,5364067,3.57E-01,0,2.41E-01,7.07E-01,9.48E-01,1.31E+00,2.68E+00,0,1.81E+00,5.30E+00,7.11E+00,9.79E+00,4667.130542,128020.4159,176273.9694
farm16,W1,49.474071,118.554445,612611,5481319,7.55E-01,1.67E-02,5.12E-01,5.43E-01,1.07E+00,1.83E+00,6.15E+00,1.36E-01,4.17E+00,4.42E+00,8.73E+00,14.87364209,13792.79149,68075.5494,116014.4083
farm17,W2,49.472188,118.554456,612616,5481110,1.73E-01,4.38E-03,9.87E-02,5.29E-01,6.32E-01,8.05E-01,1.49E+00,3.76E-02,8.47E-01,4.53E+00,5.42E+00,6.90E+00,1394.979319,229030.9124,291841.9625
farm18,W3,49.475254,118.548954,612210,5481443,3.61E-01,2.76E-03,8.48E-02,6.10E-01,6.98E-01,1.06E+00,2.85E+00,2.18E-02,6.69E-01,4.82E+00,5.51E+00,8.36E+00,3823.209771,267748.6545,406342.9462
farm20,W4,49.638342,118.53023,610485,5499546,1.12E+00,9.29E-03,5.71E-01,1.17E+00,1.75E+00,2.87E+00,4.28E+00,3.57E-02,2.19E+00,4.50E+00,6.73E+00,11.00646919,31973.19235,99889.38271,163446.0675
farm21,W5,49.509742,118.646905,619222,5485427,1.48E-01,2.13E-03,1.96E-01,5.58E-01,7.57E-01,9.05E-01,1.29E+00,1.85E-02,1.71E+00,4.85E+00,6.57E+00,7.86E+00,1342.395536,188001.1413,224865.7752
farm22,W6,49.569801,118.743754,626078,5492262,1.20E-01,2.67E-03,5.47E-02,8.63E-02,1.44E-01,2.64E-01,3.01E+00,6.67E-02,1.37E+00,2.16E+00,3.59E+00,6.60E+00,317.7641204,85444.91745,156985.1111
farm23,W7,49.543427,118.781885,628905,5489394,3.13E-01,2.73E-03,2.01E-01,5.26E-01,7.30E-01,1.04E+00,2.42E+00,2.11E-02,1.56E+00,4.06E+00,5.64E+00,8.06E+00,3265.922856,141561.1663,202315.8188
farm24,W8,49.476235,118.556445,612751,5481563,5.12E-01,7.84E-03,2.89E-01,4.37E-01,7.34E-01,1.25E+00,2.87E+00,4.39E-02,1.62E+00,2.45E+00,4.11E+00,6.98E+00,6387.595871,99085.03272,168268.4798
farm26,E6,49.48123,120.020806,284216,5485221,1.43E-01,6.16E-03,3.40E-01,3.86E-01,7.33E-01,8.76E-01,5.00E-01,2.15E-02,1.19E+00,1.35E+00,2.56E+00,3.06E+00,1255.891434,21982.14785,26282.7035
farm27,E7,49.481335,120.021114,284239,5485231,7.02E-01,7.83E-02,1.01E+00,4.36E-01,1.52E+00,2.22E+00,4.33E+00,4.83E-01,6.22E+00,2.69E+00,9.398575617,13.73155825,15609.38365,54041.8098,78956.45992
farm30,E8,49.481653,120.373027,309726,5484318,4.95E-01,1.49E-02,6.12E-01,3.84E-01,1.01E+00,1.51E+00,6.01E+00,1.82E-01,7.44E+00,4.667142977,12.28522636,18.29628664,7458.856757,42998.29226,64037.00322
farm31,E9,49.480157,120.377769,310064,5484140,6.79E-01,2.80E-02,4.47E-01,5.05E-01,9.80E-01,1.66E+00,5.77E+00,2.38E-01,3.80E+00,4.29660011,8.330600414,14.09790057,11253.53966,49983.60249,84587.40339
farm35,E10,49.449738,120.259574,301381,5481063,2.66E-01,3.28E-02,1.81E-01,6.91E-01,9.05E-01,1.17E+00,1.61E+00,1.98E-01,1.10E+00,4.185278458,5.481477058,7.090776235,3109.257661,146218.4005,189146.4561
farm39,E11,49.449579,120.256751,301176,5481053,8.46E-02,5.29E-03,2.53E-01,5.22E-01,7.80E-01,8.65E-01,1.00E+00,6.27E-02,3.00E+00,6.182289632,9.2416265,10.24399069,732.2120666,70236.3614,77854.32921
farm40,E12,49.447204,120.262007,301547,5480775,3.15E-01,7.35E-02,2.89E-01,1.42E+00,1.78E+00,2.10E+00,8.73E-01,2.04E-01,8.01E-01,3.932280101,4.936780872,5.810255159,6618.004115,160445.3783,188833.2927
farm41,E13,49.513447,120.470637,316914,5487610,6.39E-01,4.54E-02,1.08E+00,8.20E-01,1.95E+00,2.59E+00,3.35E+00,2.38E-01,5.69E+00,4.306500111,10.23837035,13.59252245,16541.09304,40953.4814,54370.08979
farm42,E14,49.446042,120.176814,295368,5480874,4.57E-01,1.53E-02,3.30E-01,1.01E+00,1.36E+00,1.82E+00,2.37E+00,7.96E-02,1.71E+00,5.261142992,7.053126035,9.421821347,8291.806639,93806.57626,125310.2239
farm43,E15,49.443741,120.167621,294692,5480643,1.90E-01,2.50E-02,1.66E-01,1.84E-01,3.75E-01,5.65E-01,2.70E+00,3.56E-01,2.36E+00,2.61583856,5.336725637,8.037162827,1071.202532,99129.67871,149290.2995
farm44,E16,49.444937,120.174166,295171,5480758,4.17E-01,2.02E-02,4.82E-01,1.18E+00,1.68E+00,2.10E+00,1.18E+00,5.75E-02,1.37E+00,3.35E+00,4.77E+00,5.957244666,8736.862134,90679.28286,113187.6486
farm45,E17,49.450335,120.159278,294115,5481399,6.66E-01,6.02E-02,1.85E-01,5.21E-01,7.66E-01,1.43E+00,5.40E+00,4.88E-01,1.50E+00,4.230539279,6.217832575,11.61901703,9535.756342,134926.9669,252132.6696
farm46,E18,49.580431,120.586075,325508,5494782,2.54E-01,4.88E-03,4.00E-01,5.67E-01,9.71E-01,1.23E+00,2.76E+00,5.29E-02,4.34E+00,6.147900158,10.53883538,13.29934888,3118.607921,63233.01226,79796.09325
farm47,E19,49.578404,120.589191,325726,5494549,7.78E-01,6.30E-02,7.75E-01,9.60E-01,1.80E+00,2.58E+00,3.98E+00,3.23E-01,3.97E+00,4.914987931,9.205506375,13.18959718,20030.41209,75485.15227,108154.6969
farm50,S7,48.926134,119.770941,702962,5422946,2.82E-01,2.10E-02,2.15E-01,2.59E-01,4.95E-01,7.77E-01,6.10E+00,4.55E-01,4.66E+00,5.60E+00,1.07E+01,16.81659847,2187.7478,74826.61979,117379.8573
farm51,S8,48.936884,119.771164,702935,5424141,2.66E-01,2.37E-02,3.64E-01,3.44E-01,7.32E-01,9.98E-01,3.54E+00,3.15E-01,4.85E+00,4.58E+00,9.74E+00,13.28625878,2659.262501,98103.27671,133792.6259
farm55,S9,48.946368,119.975222,717835,5425761,1.04E-01,4.41E-03,2.46E-01,6.72E-01,9.23E-01,1.03E+00,7.55E-01,3.19E-02,1.78E+00,4.86E+00,6.67E+00,7.43E+00,1072.937842,182791.3951,203464.9576
farm56,S10,48.854179,120.283278,300723,5414805,3.87E-01,8.47E-02,1.30E+00,5.65E-01,1.95E+00,2.34E+00,3.78E+00,8.27E-01,1.27E+01,5.52E+00,19.05394689,22.8373513,9060.004467,121945.2601,146159.0483
farm57,S11,48.8549555,120.2831855,300719,5414891,8.21E-02,3.10E-02,1.09E-01,7.61E-01,9.01E-01,9.83E-01,5.05E-01,1.91E-01,6.73E-01,4.68E+00,5.54E+00,6.05E+00,807.6476775,321684.5749,351009.6619
farm59,S12,48.856614,120.305847,302388,5415016,4.28E-01,3.31E-02,1.42E+00,7.15E-01,2.17E+00,2.60E+00,2.86E+00,2.21E-01,9.49E+00,4.76E+00,14.47433635,17.33031913,11136.3959,34738.40724,41592.7659
farm60,S13,48.805546,120.159395,291435,5409732,7.80E-02,1.33E-02,1.02E-01,2.18E-01,3.34E-01,4.12E-01,1.33E+00,2.26E-01,1.73E+00,3.72E+00,5.68E+00,7.005691481,321.0833158,159770.9699,197140.1583
farm61,S14,48.71003,119.81123,706801,5399035,4.27E-01,1.60E-01,4.93E-01,1.41E+00,2.07E+00,2.49E+00,1.27E+00,4.77E-01,1.47E+00,4.20E+00,6.15E+00,7.42E+00,10665.96361,136454.2705,164669.0128
farm62,S15,48.716523,119.803113,706177,5399735,2.52E-01,4.86E-02,8.30E-01,3.20E-01,1.20E+00,1.45E+00,3.22E+00,6.22E-01,1.06E+01,4.09E+00,15.32419467,18.54299333,3652.873768,70491.29548,85297.7693
farm65,S16,48.546829,120.004936,278965,5381413,1.75E-01,5.19E-02,3.19E-01,4.73E-01,8.43E-01,1.02E+00,1.45E+00,4.30E-01,2.65E+00,3.92E+00,6.99E+00,8.449190123,1787.25777,86032.69024,103925.0385
farm66,S17,48.777053,119.85621,709830,5406608,5.19E-02,1.65E-02,1.44E-01,3.06E-01,4.67E-01,5.19E-01,5.90E-01,1.87E-01,1.64E+00,3.49E+00,5.32E+00,5.91E+00,269.206326,105263.9878,116948.5588
farm68,W9,48.54504,119.001123,647692,5378815,6.90E-02,3.71E-03,2.10E-01,5.15E-01,7.29E-01,7.98E-01,5.07E-01,2.72E-02,1.54E+00,3.78E+00,5.35E+00,5.86E+00,550.6440604,169056.758,185071.0737
